code_zone_geo;zone_geographique;annee;code_indicateur;indicateur;code_type_pers;type_de_personnel;code_taille;taille_d_entreprise;secret;non_disponible;etat_des_donnees;valeur
31;Nord-Pas-de-Calais;2013;pers;Effectifs de R&D;2;Soutien à la recherche;2;De 250 à 500 salariés;non;non;semi-définitif;207.18
41;Lorraine;2004;pers;Effectifs de R&D;1;Chercheurs;1;Moins de 250 salariés;non;non;définitif;811.62
41;Lorraine;2007;pers;Effectifs de R&D;2;Soutien à la recherche;2;De 250 à 500 salariés;non;non;définitif;234.15
41;Lorraine;2008;dird;Dépense intérieure de R&D;;;4;Plus de 1000 salariés;non;non;définitif;137.02
41;Lorraine;2009;pers;Effectifs de R&D;0;Tous types de personnel;3;De 500 à 1000 salariés;non;non;définitif;438.81
41;Lorraine;2012;pers;Effectifs de R&D;0;Tous types de personnel;2;De 250 à 500 salariés;non;non;définitif;325.74
41;Lorraine;2012;pers;Effectifs de R&D;2;Soutien à la recherche;1;Moins de 250 salariés;non;non;définitif;515.33
42;Alsace;2003;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;1838.73
42;Alsace;2004;pers;Effectifs de R&D;1;Chercheurs;1;Moins de 250 salariés;non;non;définitif;825.06
42;Alsace;2005;dird;Dépense intérieure de R&D;;;2;De 250 à 500 salariés;non;non;définitif;45.89
42;Alsace;2007;pers;Effectifs de R&D;2;Soutien à la recherche;1;Moins de 250 salariés;non;non;définitif;786.87
42;Alsace;2009;dird;Dépense intérieure de R&D;;;4;Plus de 1000 salariés;non;non;définitif;210.92
42;Alsace;2010;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;5151.94
42;Alsace;2010;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;2629.17
42;Alsace;2011;dird;Dépense intérieure de R&D;;;2;De 250 à 500 salariés;non;non;définitif;103.96
42;Alsace;2012;pers;Effectifs de R&D;0;Tous types de personnel;3;De 500 à 1000 salariés;non;non;définitif;401.68
43;Franche-Comté;2002;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;4776.09
43;Franche-Comté;2003;dird;Dépense intérieure de R&D;;;2;De 250 à 500 salariés;oui;non;définitif;
43;Franche-Comté;2004;dird;Dépense intérieure de R&D;;;0;Toutes tailles d'entreprise;non;non;définitif;433.94
43;Franche-Comté;2004;dird;Dépense intérieure de R&D;;;4;Plus de 1000 salariés;oui;non;définitif;
43;Franche-Comté;2007;pers;Effectifs de R&D;0;Tous types de personnel;2;De 250 à 500 salariés;non;non;définitif;130.79
43;Franche-Comté;2007;pers;Effectifs de R&D;0;Tous types de personnel;4;Plus de 1000 salariés;non;non;définitif;4536.48
43;Franche-Comté;2007;pers;Effectifs de R&D;1;Chercheurs;2;De 250 à 500 salariés;non;non;définitif;45.02
43;Franche-Comté;2010;dird;Dépense intérieure de R&D;;;0;Toutes tailles d'entreprise;non;non;définitif;664.56
43;Franche-Comté;2010;pers;Effectifs de R&D;0;Tous types de personnel;3;De 500 à 1000 salariés;non;non;définitif;447.01
43;Franche-Comté;2010;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;2586.83
43;Franche-Comté;2011;dird;Dépense intérieure de R&D;;;4;Plus de 1000 salariés;non;non;définitif;607.58
52;Pays de la Loire;2002;pers;Effectifs de R&D;2;Soutien à la recherche;0;Toutes tailles d'entreprise;non;non;définitif;2841.11
52;Pays de la Loire;2005;dird;Dépense intérieure de R&D;;;3;De 500 à 1000 salariés;non;non;définitif;84.08
52;Pays de la Loire;2005;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;non;non;définitif;410.83
52;Pays de la Loire;2005;pers;Effectifs de R&D;1;Chercheurs;4;Plus de 1000 salariés;non;non;définitif;941.31
52;Pays de la Loire;2006;dird;Dépense intérieure de R&D;;;0;Toutes tailles d'entreprise;non;non;définitif;563.95
52;Pays de la Loire;2006;dird;Dépense intérieure de R&D;;;3;De 500 à 1000 salariés;non;non;définitif;80.06
52;Pays de la Loire;2006;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;3534.42
52;Pays de la Loire;2006;pers;Effectifs de R&D;2;Soutien à la recherche;0;Toutes tailles d'entreprise;non;non;définitif;3659.51
52;Pays de la Loire;2011;pers;Effectifs de R&D;2;Soutien à la recherche;4;Plus de 1000 salariés;non;non;définitif;869.76
52;Pays de la Loire;2012;pers;Effectifs de R&D;1;Chercheurs;2;De 250 à 500 salariés;non;non;définitif;641.33
52;Pays de la Loire;2013;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;semi-définitif;8696.34
